"","V1","Link","Title","Authors","Contributors","ISBN.UID","Format","Read.Status","Date.Added","Last.Date.Read","Dates.Read","Read.Count","Moods","Pace","Character..or.Plot.Driven.","Strong.Character.Development.","Loveable.Characters.","Diverse.Characters.","Flawed.Characters.","Star.Rating","Review","Content.Warnings","Content.Warning.Description","Tags","Owned.","Description","FRE","adventurous","challenging","dark","emotional","funny","hopeful","informative","inspiring","lighthearted","mysterious","reflective","relaxing","sad","tense","recc","recc_yes_prob"
"62",299,"https://app.thestorygraph.com/books/7f8de297-02cf-4536-9e22-6f4f2705fde6","A House With Good Bones","T. Kingfisher","","9.78E+12","digital","to-read","1/1/2024",NA,NA,0,"dark, funny, mysterious","medium","A mix","Yes","Yes","No","No",NA,NA,NA,NA,NA,"No","T. Kingfisher\'s A House With Good Bones is a contemporary Southern Gothic from a master of modern horror that explores the deep, dark roots of family and in which grandma\'s ghost haunting your house may be the least of your worries. In this ordinary North Carolina suburb, family secrets are always in bloom.Samantha Montgomery pulls into the driveway of her family home to find a massive black vulture perched on the mailbox, staring at the house.Inside, everything has changed. Gone is the eclectic warmth Sam expects; instead the walls are a sterile white. Now, it’s very important to say grace before dinner, and her mother won’t hear a word against Sam’s long-dead and little-missed grandmother, who was the first to put down roots in this small southern town.The longer Sam stays, the stranger things get. And every day, more vultures circle overhead…",59.57,0,0,1,0,1,0,0,0,0,1,0,0,0,0,"Yes",0.90329293693647
"24",99,"https://app.thestorygraph.com/books/2bb277a7-1b7a-4623-9a7e-b0cda45aadca","Show Us Who You Are","Elle McNicoll","","9.78E+12","paperback","to-read","12/22/2023",NA,NA,0,"emotional, hopeful, inspiring","medium","A mix","Yes","Yes","Yes","It's complicated",NA,NA,NA,NA,NA,"No","The second book from the author of A Kind Of Spark, with Neurodivergent characters you\'ll root for and a moving friendship at its heart.&nbsp; When Cora\'s brother drags her along to his boss\'s house, she doesn\'t expect to strike up a friendship with Adrien, son of the intimidating CEO of Pomegranate Technologies. As she becomes part of Adrien\'s life, she is also drawn into the mysterious projects at Pomegranate. At first, she\'s intrigued by them - Pomegranate is using AI to recreate real people in hologram form. As she digs deeper, however, she uncovers darker secrets...&nbsp; Cora knows she must unravel their plans, but can she fight to make her voice heard, whilst never losing sight of herself?",50.2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,"Yes",0.902280381252781
"86",446,"https://app.thestorygraph.com/books/b6466488-d50a-43ff-b6cb-4e3ce0b99260","Parachutes","Kelly Yang","","9.78E+12","hardcover","to-read","3/17/2020",NA,NA,0,"challenging, emotional, reflective","medium","A mix","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,"No","Speak enters the world of Gossip Girl in this modern immigrant story from New York Times bestselling author Kelly Yang about two girls navigating wealth, power, friendship, and trauma. They\'re called parachutes: teenagers dropped off to live in private homes and study in the United States while their wealthy parents remain in Asia. Claire Wang never thought she\'d be one of them, until her parents pluck her from her privileged life in Shanghai and enroll her at a high school in California.Suddenly she finds herself living in a stranger\'s house, with no one to tell her what to do for the first time in her life. She soon embraces her newfound freedom, especially when the hottest and most eligible parachute, Jay, asks her out.Dani De La Cruz, Claire\'s new host sister, couldn\'t be less thrilled that her mom rented out a room to Claire. An academic and debate team star, Dani is determined to earn her way into Yale, even if it means competing with privileged kids who are buying their way to the top. But Dani\'s game plan veers unexpectedly off course when her debate coach starts working with her privately.As they steer their own distinct paths, Dani and Claire keep crashing into one another, setting a course that will change their lives forever. ",52.06,0,1,0,1,0,0,0,0,0,0,1,0,0,0,"Yes",0.899167162101017
"8",29,"https://app.thestorygraph.com/books/0cb8b072-ffd6-41c1-bc4a-964fa44ef73d","Rust in the Root","Justina Ireland","","9.78E+12","hardcover","to-read","2/2/2024",NA,NA,0,"adventurous, emotional, mysterious","medium","A mix","Yes","Yes","Yes","No",NA,NA,NA,NA,NA,"No","The author of the visionary New York Times bestseller Dread Nation returns with another spellbinding historical fantasy set at the crossroads of race and power in America.It is 1937, and Laura Ann Langston lives in an America divided—between those who work the mystical arts and those who do not. Ever since the Great Rust, a catastrophic event that blighted the arcane force called the Dynamism and threw America into disarray, the country has been rebuilding for a better future. And everyone knows the future is industry and technology—otherwise known as Mechomancy—not the traditional mystical arts.Laura disagrees. A talented young mage from Pennsylvania, Laura hopped a portal to New York City on her seventeenth birthday with hopes of earning her mage’s license and becoming something more than a rootworker.But four months later, she’s got little to show for it other than an empty pocket and broken dreams. With nowhere else to turn, Laura applies for a job with the Bureau of the Arcane’s Conservation Corps, a branch of the US government dedicated to repairing the Dynamism so that Mechomancy can thrive. There she meets the Skylark, a powerful mage with a mysterious past, who reluctantly takes Laura on as an apprentice.As they’re sent off on their first mission together into the heart of the country’s oldest and most mysterious Blight, they discover the work of mages not encountered since the darkest period in America’s past, when Black mages were killed for their power—work that could threaten Laura’s and the Skylark’s lives, and everything they’ve worked for.",28.34,1,0,0,1,0,0,0,0,0,1,0,0,0,0,"Yes",0.895438832988567
"57",282,"https://app.thestorygraph.com/books/7af7cc34-90fb-443a-a24f-7b81778053ab","The Lost Library","Rebecca Stead, Wendy Mass","","9.78E+12","hardcover","to-read","11/7/2023",NA,NA,0,"hopeful, lighthearted, mysterious","medium","A mix","Yes","Yes","No","No",NA,NA,NA,NA,NA,"No","The New York Times bestselling authors of Bob, Rebecca Stead and Wendy Mass, introduce readers to a little free library guarded by a cat and a boy who takes on the mystery it keeps.When a mysterious little free library (guarded by a large orange cat) appears overnight in the small town of Martinville, eleven-year-old Evan plucks two weathered books from its shelves, never suspecting that his life is about to change.Evan and his best friend Rafe quickly discover a link between one of the old books and a long-ago event that none of the grown-ups want to talk about. The two boys start asking questions whose answers will transform not only their own futures, but the town itself.Told in turn by a ghost librarian named Al, an aging (but beautiful) cat named Mortimer, and Evan himself, The Lost Library is a timeless story from award-winning authors Rebecca Stead and Wendy Mass. It’s about owning your truth, choosing the life you want, and the power of a good book (and, of course, the librarian who gave it to you).&nbsp;",28.21,0,0,0,0,0,1,0,0,1,1,0,0,0,0,"Yes",0.894623639982271
"56",280,"https://app.thestorygraph.com/books/793a7f82-0acb-4c90-ac4c-cc384a987885","Both Can Be True","Jules Machias","","9.78E+12","hardcover","to-read","4/8/2022",NA,NA,0,"emotional, hopeful","medium","A mix","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,"No","Jules Machias explores identity, gender fluidity, and the power of friendship and acceptance in this dual-narrative story about two kids who join forces to save a dog . . . but wind up saving each other.Ash is no stranger to feeling like an outcast. For someone who cycles through genders, it’s a daily struggle to feel in control of how people perceive you. Some days Ash is undoubtedly girl, but other times, 100 percent guy. Daniel lacks control too—of his emotions. He’s been told he’s overly sensitive more times than he can count. He can’t help the way he is, and he sure wishes someone would accept him for it.So when Daniel’s big heart leads him to rescue a dog that’s about to be euthanized, he’s relieved to find Ash willing to help. The two bond over their four-legged secret. When they start catching feelings for each other, however, things go from cute to complicated. Daniel thinks Ash is all girl . . . what happens when he finds out there’s more to Ash’s story?With so much on the line—truth, identity, acceptance, and the life of an adorable pup named Chewbarka—will Ash and Daniel forever feel at war with themselves because they don’t fit into the world’s binaries? Or will their friendship help them embrace the beauty of living in between?",66.57,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"Yes",0.8879074877264
"85",421,"https://app.thestorygraph.com/books/acb93e08-d91c-46db-9470-1928195281a4","A Kind of Spark","Elle McNicoll","","9.78E+12","paperback","to-read","1/1/2024",NA,NA,0,"emotional, hopeful, inspiring","medium","Character","Yes","Yes","Yes","It's complicated",NA,NA,NA,NA,NA,"No","A Kind of Spark tells the story of 11-year old Addie as she campaigns for a memorial in memory of the witch trials that took place in her Scottish hometown. Addie knows there’s more to the story of these ‘witches’, just like there is more to hers. Can Addie challenge how the people in her town see her, and her autism, and make herself heard?",74.83,0,0,0,1,0,1,0,1,0,0,0,0,0,0,"Yes",0.88714728915244
"79",403,"https://app.thestorygraph.com/books/a725246b-0880-4040-9758-2652fba09cf2","Immortality: A Love Story","Dana Schwartz","","9.78E+12","hardcover","to-read","5/10/2023",NA,NA,0,"adventurous, dark, emotional","medium","A mix","Yes","Yes","No","No",NA,NA,NA,NA,NA,"No","Hazel Sinnett is alone and half-convinced the events of the year before—the immortality, Beecham’s vial—were a figment of her imagination. She doesn’t even know if Jack is alive or dead. All she can really do now is treat patients and maintain Hawthornden Castle as it starts to decay around her.When saving a life leads to her arrest, Hazel seems doomed to rot in prison until a message intervenes: Hazel has been specifically requested to be the personal physician of Princess Charlotte, the sickly granddaughter of King George III. Soon Hazel is dragged into the glamor and romance of a court where everyone has something to hide, especially the enigmatic, brilliant members of a social club known as the Companions to the Death.As Hazel’s work entangles her more and more with the British court, she realizes that her own future as a surgeon isn\'t the only thing at stake for her. Malicious forces are at work in the monarchy, and Hazel may be the only one capable of setting things right.&nbsp;",53.89,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"Yes",0.886614079372122
"82",416,"https://app.thestorygraph.com/books/aba833ba-a958-4cc4-8aa2-38f8e0d5e406","Not Your Sidekick","C.B. Lee","","9.78E+11","digital","to-read","9/15/2019",NA,NA,0,"adventurous, funny, lighthearted","fast","A mix","Yes","Yes","Yes","No",NA,NA,NA,NA,NA,"No","Welcome to Andover… where superpowers are common, but internships are complicated. Just ask high school nobody, Jessica Tran. Despite her heroic lineage, Jess is resigned to a life without superpowers and is merely looking to beef-up her college applications when she stumbles upon the perfect (paid!) internship—only it turns out to be for the town’s most heinous supervillain. On the upside, she gets to work with her longtime secret crush, Abby, who Jess thinks may have a secret of her own. Then there’s the budding attraction to her fellow intern, the mysterious “M,” who never seems to be in the same place as Abby. But what starts as a fun way to spite her superhero parents takes a sudden and dangerous turn when she uncovers a plot larger than heroes and villains altogether.",57.4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,"Yes",0.883246026784991
"45",196,"https://app.thestorygraph.com/books/5779c73e-469b-4c9c-bad0-3349158593f0","Court of Wanderers","Rin Chupeco","","9.78E+12","hardcover","to-read","12/13/2023",NA,NA,0,"adventurous, emotional","medium","A mix","Yes","Yes","Yes","No",NA,NA,NA,NA,NA,"No","Remy Pendergast and his royal vampire companions return to face an enemy that is terrifyingly close to home in Rin Chupeco’s queer, bloody Gothic epic fantasy series for fans of Samantha Shannon’s The Priory of the Orange Tree and the adult animated series Castlevania.Remy Pendergast, the vampire hunter, and his unexpected companions, Lord Zidan Malekh and Lady Xiaodan Song, are on the road through the kingdom of Aluria again after a hard-won first battle against the formidable Night Empress, who threatens to undo a fragile peace between humans and vampires. Xiaodan, severely injured, has lost her powers to vanquish the enemy’s new super breed of vampire, but if the trio can make it to Fata Morgana, the seat of Malehk’s court—dubbed “the Court of Wanderers”—there is hope of nursing her and bringing them back.&nbsp;En-route to the Third Court, Remy crosses paths with his father, the arrogant, oftentimes cruel Lord of Valenbonne. He also begins to suffer strange dreams of the Night Empress, whom he has long suspected to be Ligaya Pendergast, his own mother. As his family history unfolds during these episodes, which are too realistic to be coincidence, he realizes that she is no ordinary vampire—and that he may end up having to choose between the respective legacies of his parents.&nbsp;Posing as Malek and Xiaodan’s human familiar, Remy contends with Aluria’s intimidating vampire courts and a series of gruesome murders with their help—and more, as the three navigate their relationship. But those feelings and even their extraordinary collective strength will be put to the test as each of them unleashes new powers in combat at what may be proven to be the ultimate cost.",15.65,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Yes",0.882801909058607
"1",2,"https://app.thestorygraph.com/books/00667e27-3c11-45d7-aa9f-f032bd75cc14","The Remarkable Journey of Coyote Sunrise","Dan Gemeinhart","","9.78E+12","hardcover","to-read","7/13/2020",NA,NA,0,"adventurous, emotional, hopeful","medium","A mix","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,"No","Five years.&nbsp;That\'s how long Coyote and her dad, Rodeo, have lived on the road in an old school bus, criss-crossing the nation.&nbsp;It\'s also how long ago Coyote lost her mom and two sisters in a car crash.&nbsp;Coyote hasn\'t been home in all that time, but when she learns that the park in her old neighborhood is being demolished--the very same park where she, her mom, and her sisters buried a treasured memory box--she devises an elaborate plan to get her dad to drive 3,600 miles back to Washington state in four days...without him realizing it.&nbsp;Along the way, they\'ll pick up a strange crew of misfit travelers. Lester has a lady love to meet. Salvador and his mom are looking to start over. Val needs a safe place to be herself. And then there\'s Gladys...&nbsp;Over the course of thousands of miles, Coyote will learn that going home can sometimes be the hardest journey of all...but that with friends by her side, she just might be able to turn her \""""once upon a time\"""" into a \""""happily ever after.\""""&nbsp;This title has common core connections.",59.91,1,0,0,1,0,1,0,0,0,0,0,0,0,0,"Yes",0.882618837513511
"23",92,"https://app.thestorygraph.com/books/b6734d8b-d9e8-46c9-b329-902917631dd2","Summer of Salt","Katrina Leno","","9.78E+12","hardcover","to-read","10/30/2018",NA,NA,0,"emotional, inspiring, lighthearted","medium","A mix","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,"No","&nbsp;Magic passed down through generations. An island where strange things happen. One summer that will become legend.&nbsp;Practical Magic meets Nova Ren Suma\'s Imaginary Girls and Laura Ruby\'s Bone Gap in this lush, atmospheric novel by acclaimed author Katrina Leno.&nbsp;Georgina Fernweh waits impatiently for the tingle of magic in her fingers—magic that has touched every woman in her family. But with her eighteenth birthday looming at the end of this summer, Georgina fears her gift will never come.&nbsp;Over the course of her last summer on the island—a summer of storms, falling in love, and the mystery behind one rare three-hundred-year-old bird—Georgina will learn the truth about magic, in all its many forms.&nbsp;",43.26,0,0,0,1,0,0,0,1,1,0,0,0,0,0,"Yes",0.882588508355232
"107",548,"https://app.thestorygraph.com/books/e3750844-1513-4c97-ba8b-30d15597ded4","No Two Persons","Erica Bauermeister","","9.78E+12","hardcover","to-read","12/27/2023",NA,NA,0,"emotional, reflective, sad","medium","Character","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,"Yes","Alice has always wanted to be a writer. Her talent is innate, but her stories remain safe and detached, until a devastating event breaks her heart open, and she creates a stunning debut novel. Her words, in turn, find their way to readers, from a teenager hiding her homelessness, to a free diver pushing himself beyond endurance, an artist furious at the world around her, a bookseller in search of love, a widower rent by grief. Each one is drawn into Alice’s novel; each one discovers something different that alters their perspective, and presents new pathways forward for their lives.1 book. Nine readers. Ten changed lives. New York Times bestselling author Erica Bauermeister’s No Two Persons is “a gloriously original celebration of fiction, and the ways it deepens our lives.”Together, their stories reveal how books can affect us in the most beautiful and unexpected of ways—and how we are all more closely connected to one another than we might think.That was the beauty of books, wasn’t it? They took you places you didn’t know you needed to go…",54.15,0,0,0,1,0,0,0,0,0,0,1,0,1,0,"Yes",0.882144424073068
"4",14,"https://app.thestorygraph.com/books/057b93fc-3bc4-47ea-a327-61bb13b67c3a","Sasha Masha","Agnes Borinsky","","9.78E+12","hardcover","to-read","12/27/2023",NA,NA,0,"emotional, hopeful, reflective","fast","Character","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,"No","Transgender author Agnes Borinsky deftly explores gender identity and queer romance in this heart-wrenching debut novel.Alex feels like he is in the wrong body. His skin feels strange against his bones. And then comes Tracy, who thinks he\'s adorably awkward, who wants to kiss him, who makes him feel like a Real Boy. But it is not quite enough. Something is missing.&nbsp;As Alex grapples with his identity, he finds himself trying on dresses and swiping on lipstick in the quiet of his bedroom. He meets Andre, a gay boy who is beautiful and unafraid to be who he is. Slowly, Alex begins to realize: maybe his name isn\'t Alex at all. Maybe it\'s Sasha Masha.",82.24,0,0,0,1,0,1,0,0,0,0,1,0,0,0,"Yes",0.876122266104145
