"","V1","Link","Title","Authors","Contributors","ISBN.UID","Format","Read.Status","Date.Added","Last.Date.Read","Dates.Read","Read.Count","Moods","Pace","Character..or.Plot.Driven.","Strong.Character.Development.","Loveable.Characters.","Diverse.Characters.","Flawed.Characters.","Star.Rating","Review","Content.Warnings","Content.Warning.Description","Tags","Owned.","Description","FRE","adventurous","challenging","dark","emotional","funny","hopeful","informative","inspiring","lighthearted","mysterious","reflective","relaxing","sad","tense","recc"
"336",422,"https://app.thestorygraph.com/books/ad429c39-8558-4e43-9b00-7079bb53801e","A Guest in the House","Emily Carroll","","9.78E+12","hardcover","read","8/19/2023","8/19/2023","2023/08/19-2023/08/19",1,"dark, emotional, mysterious, reflective, tense","medium","Character","It's complicated","N/A","N/A","Yes",4.75,"","",NA,NA,"Yes","Abby has just married a widowed dentist who recently arrived in town with his daughter and begins to go through the motions of becoming a wife and mother. But the more she learns about his first wife, the more things don\'t add up—did she really just pass away or is something more sinister afoot? As Abby delves deeper, the first wife\'s memory seems to become a force all its own, ensnaring Abby in a mystery that leaves her obsessed, fascinated, and desperately in love for the first time in her life.",57.64,0,0,1,1,0,0,0,0,0,1,1,0,0,1,"Yes"
"168",214,"https://app.thestorygraph.com/books/60e78619-a7c2-436f-a9fd-638e62b74c13","Akata Witch","Nnedi Okorafor","","9.78E+12","hardcover","read","7/21/2022","7/22/2022","2022/07/21-2022/07/22",1,"adventurous, mysterious","medium","Plot","Yes","Yes","Yes","It's complicated",3.5,"","",NA,NA,"Yes","Akata Witch weaves together a heart-pounding tale of magic, mystery, and finding one\'s place in the world.Twelve-year-old Sunny lives in Nigeria, but she was born American. Her features are African, but she\'s albino. She\'s a terrific athlete, but can\'t go out into the sun to play soccer. There seems to be no place where she fits in. And then she discovers something amazing--she is a free agent with latent magical power. Soon she\'s part of a quartet of magic students, studying the visible and invisible, learning to change reality. But will it be enough to help them when they are asked to catch a career criminal who knows magic too?Ursula K. Le Guin and John Green are Nnedi Okorafor fans. As soon as you start reading Akata Witch, you will be, too&nbsp;",73.47,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"No"
"271",340,"https://app.thestorygraph.com/books/8f2802b1-8d41-4b35-bd76-37e013ea5c7e","The Cabinet","Un-su Kim","Sean Lin Halbert (Translator)","9.78E+12","paperback","read","8/11/2023","8/12/2023","2023/08/11-2023/08/12",1,"dark, funny, mysterious","medium","A mix","It's complicated","No","No","Yes",2.75,"","",NA,NA,"Yes","Winner of the Munhakdongne Novel Award, South Korea’s most prestigious literary prize.Cabinet 13 looks exactly like any normal filing cabinet… Except this cabinet is filled with files on the ‘symptomers’, humans whose strange abilities and bizarre experiences might just mark the emergence of a new species.But to Mr Kong, the harried office worker whose job it is to look after the cabinet, the symptomers are a headache; especially the one who won’t stop calling every day, asking to be turned into a cat.A richly funny and fantastical novel about the strangeness at the heart of even the most everyday lives, from one of South Korea’s most acclaimed novelists.&nbsp;“[A] brilliant mosaic novel…These stories straddle the lines between science fiction, fantasy, fairy tale, and acute reality.”– Publishers Weekly, Starred Review “What begins as a rather whimsical set of stories turns into a much darker novel, raising issues of difference and acceptance, what people must do to survive, and what is truly monstrous.”– the Guardian “The Cabinet is an anti-capitalist narrative at its core, one that makes explicit the arbitrariness of capitalist expectations and assumptions. Kim deftly juggles both macro-level and micro-level ideas about social roles, purpose, and personal narrative. More of a thought experiment than a thriller, The Cabinet is a lighthearted, amusing read that nonetheless dives into some deep philosophical topics.”– Strange Horizons",-12.1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,"No"
"298",372,"https://app.thestorygraph.com/books/9e929207-3018-428f-95b9-c62a5af4bdfe","Cursed Crowns","Katherine Webber, Catherine Doyle","","9.78E+12","digital","read","11/3/2023","11/5/2023","2023/11/02-2023/11/05",1,"adventurous, emotional, mysterious","medium","A mix","Yes","Yes","Yes","Yes",3.5,"","",NA,NA,"No","Bestselling authors and real-life sisters-in-law Catherine Doyle and Katherine Webber join forces on a compelling YA fantasy bursting with high-stakes adventure, romance and humour. Two queens, one throne. What can possibly go wrong . . .?Twin queens Wren and Rose have claimed their crowns . . . but not everyone is happy about witches sitting on Eana’s throne.Cool-headed Rose sets off on a Royal Tour to win over the doubters, but soon finds herself drawn to the Sunkissed Kingdom. Here secrets are revealed about those closest to her, and Rose finds her loyalties divided.Meanwhile rebellious Wren steals away to the icy north to rescue their beloved grandmother, Banba. But when she accepts King Alarik’s deadly magical bargain in exchange for Banba’s freedom, the spell has unexpected – and far-reaching – consequences . . .As an ancient curse begins to arise from the darkness, the sisters must come together and unite the crown. Their lives – and the future of Eana – depend on it.Break the ice to free the curse,Kill one twin to save another . .&nbsp;",51.31,1,0,0,1,0,0,0,0,0,1,0,0,0,0,"No"
"31",39,"https://app.thestorygraph.com/books/12a6da66-e781-4444-bec5-758662689595","Silver Under Nightfall","Rin Chupeco","","9.78E+12","hardcover","read","12/10/2023","12/12/2023","2023/12/09-2023/12/12",1,"adventurous, dark, emotional, funny, mysterious","medium","A mix","Yes","Yes","Yes","Yes",5,"<div>This book has been on my TBR for YEARS and HOLY MOLY, it didn't disappoint. This was beautifully written and paced and is probably my favorite romance of 2023 or maybe also all time? Not to even mention the fun worldbuilding details that this story is chock full of. Highly, highly recommend.</div>","",NA,NA,"Yes","Remy Pendergast is many things: the only son of the Duke of Valenbonne (though his father might wish otherwise), an elite bounty hunter of rogue vampires, and an outcast among his fellow Reapers. His mother was the subject of gossip even before she eloped with a vampire, giving rise to the rumors that Remy is half-vampire himself. Though the kingdom of Aluria barely tolerates him, Remy’s father has been shaping him into a weapon to fight for the kingdom at any cost.When a terrifying new breed of vampire is sighted outside of the city, Remy prepares to investigate alone. But then he encounters the shockingly warmhearted vampire heiress Xiaodan Song and her infuriatingly arrogant fiancé, vampire lord Zidan Malekh, who may hold the key to defeating the creatures—though he knows associating with them won’t do his reputation any favors. When he’s offered a spot alongside them to find the truth about the mutating virus Rot that’s plaguing the kingdom, Remy faces a choice.It’s one he’s certain he’ll regret.But as the three face dangerous hardships during their journey, Remy develops fond and complicated feelings for the couple. He begins to question what he holds true about vampires, as well as the story behind his own family legacy. As the Rot continues to spread across the kingdom, Remy must decide where his loyalties lie: with his father and the kingdom he’s been trained all his life to defend or the vampires who might just be the death of him.",44.11,1,0,1,1,1,0,0,0,0,1,0,0,0,0,"Yes"
"69",91,"https://app.thestorygraph.com/books/2a5fe884-3cb1-42bd-b511-2f45f0811482","Bliss Montage","Ling Ma","","9.78E+12","hardcover","read","5/30/2023","7/31/2023","2023/07/30-2023/07/31",1,"emotional, mysterious, reflective","medium","Character","N/A","N/A","Yes","Yes",5,"","",NA,NA,"Yes","A new creation by the author of Severance, Bliss Montage crashes through our carefully built mirages.What happens when fantasy tears the screen of the everyday to wake us up? Could that waking be our end?In Bliss Montage, Ling Ma brings us eight wildly different tales of people making their way through the madness and reality of our collective delusions: love and loneliness, connection and possession, friendship, motherhood, the idea of home. A woman lives in a house with all her ex-boyfriends. A toxic friendship grows up around a drug that makes you invisible. An ancient ritual might heal you of anything—if you bury yourself alive. These and other scenarios investigate the ways that the outlandish and the ordinary are shockingly, deceptively, heartbreakingly alike.",59.13,0,0,0,1,0,0,0,0,0,1,1,0,0,0,"Yes"
"465",581,"https://app.thestorygraph.com/books/f3c2fe5f-08c8-49ff-9482-06255adc57db","The Bone Spindle","Leslie Vedder","","9.78E+12","hardcover","read","7/3/2022","7/3/2022","2022/07/02-2022/07/03",1,"adventurous, tense","medium","A mix","Yes","Yes","No","It's complicated",3.5,"","",NA,NA,"No","Fi is a bookish treasure hunter with a knack for ruins and riddles, who definitely doesn’t believe in true love.Shane is a tough-as-dirt girl warrior from the north who likes cracking skulls, pretty girls, and doing things her own way.Briar Rose is a prince under a sleeping curse, who’s been waiting a hundred years for the kiss that will wake him.Cursed princes are nothing but ancient history to Fi—until she pricks her finger on a bone spindle while exploring a long-lost ruin. Now she’s stuck with the spirit of Briar Rose until she and Shane can break the century-old curse on his kingdom.Dark magic, Witch Hunters, and bad exes all stand in her way—not to mention a mysterious witch who might wind up stealing Shane’s heart, along with whatever else she’s after. But nothing scares Fi more than the possibility of falling in love with Briar Rose.Set in a lush world inspired by beloved fairytales, The Bone Spindle is a fast-paced young adult fantasy full of adventure, romance, found family, and snark.",30.24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"No"
"155",200,"https://app.thestorygraph.com/books/596bb066-b048-48ba-82c5-bd0ad8b51cdc","Greywaren","Maggie Stiefvater","","9.78E+12","hardcover","read","10/12/2022","10/19/2022","2022/10/17-2022/10/19",1,"adventurous, emotional, mysterious, tense","medium","A mix","Yes","Yes","Yes","Yes",4.5,"","",NA,NA,"Yes","Niall and Mór escaped their homeland for a new start, and lost themselves in what they found.&nbsp;Declan has grown up as the responsible son, the responsible brother--only to find there is no way for him to keep his family safe.&nbsp;Ronan has always lived on the edge between dreams and waking... but now that edge is gone, and he is falling.&nbsp;Matthew has been the happy child, the brightest beam. But rebellion beckons, because it all feels like an illusion now.&nbsp;This world was not made for such a family--a family with the power to make a world and break it. If they cannot save each other or themselves, we are all doomed.&nbsp;",51.14,1,0,0,1,0,0,0,0,0,1,0,0,0,1,"Yes"
"243",309,"https://app.thestorygraph.com/books/824eccc1-ea3a-47c8-8a68-e037cd0d2ae1","The Wishing Game","Meg Shaffer","","9.78E+12","hardcover","read","6/6/2023","6/7/2023","2023/06/06-2023/06/07",1,"adventurous, emotional, hopeful, mysterious","medium","A mix","Yes","Yes","No","Yes",4.5,"","",NA,NA,"Yes","Years ago, a reclusive mega-bestselling children’s author quit writing under mysterious circumstances. Suddenly he resurfaces with a brand-new book and a one-of-a-kind competition, offering a prize that will change the winner’s life in this absorbing and whimsical novel.Lucy Hart knows better than anyone what it\'s like to grow up without parents who loved her. In a childhood marked by neglect and loneliness, Lucy found her solace in books, namely the Clock Island series by Jack Masterson. Now a twenty-six-year-old teacher’s aide, she is able to share her love of reading with bright, young students, especially seven-year-old Christopher Lamb, left orphaned after the tragic death of his parents. Lucy would give anything to adopt Christopher, but even the idea of becoming a family seems like an impossible dream without proper funds and stability.&nbsp;Just when Lucy is about to give up, Jack Masterson announces he’s finally written a new book. Even better, he’s holding a contest on his private island where four hand-picked readers will compete to win the only copy. At age thirteen, Lucy fled her unhappy home and showed up on Jack Masterson’s doorstep, hoping to live with her favorite author. Thirteen years later, a sky-blue envelope arrives with Lucy\'s name on it, postmarked \""""Clock Island.\""""For Lucy, a chance to read the first Clock Island book in years is a prize worth fighting for, but the possibility of winning, selling the manuscript, and securing a better future for her and Christopher means everything.But first, Lucy must contend with ruthless book collectors, wily opponents, and the distractingly handsome (and grumpy) Hugo Reese, illustrator of the Clock Island books and Jack’s only friend. Meanwhile, Jack “the Mastermind” Masterson is plotting the ultimate twist ending that could change all their lives forever.",47.35,1,0,0,1,0,1,0,0,0,1,0,0,0,0,"Yes"
"351",437,"https://app.thestorygraph.com/books/b45e2785-b4c8-45d5-947d-9d140a626df2","Under Shifting Stars","Alexandra Latos","","9.78E+12","digital","read","2/7/2022","2/7/2022","2022/02/07-2022/02/07",1,"emotional, hopeful, inspiring, reflective","slow","Character","Yes","It's complicated","Yes","Yes",3.75,"","Graphic: Car accident; ",NA,NA,"No","This heartfelt novel for fans of Jandy Nelson and Adam Silvera follows twins Audrey and Clare as they grapple with their brother\'s death and their changing relationships—with each other and themselves.Audrey’s best friend was always her twin, Clare. But as they got older, they grew apart, and when their brother Adam died, Clare blamed Audrey for the accident. Now, Audrey’s attending an alternative school where she feels more isolated than ever. Tired of being seen as different from her neurotypical peers, Audrey’s determined to switch to the public high school, rebuild her friendship with Clare, and atone for Adam’s death . . . but she’ll need to convince her parents, and her therapist, first.Clare knows her sister thinks she’s the perfect twin, but Audrey doesn’t realize that Clare’s “popular” status is crumbling—she’s begun to question old friendships, dress in Adam’s clothes, and wonder what feelings for a nonbinary classmate, Taylor, might mean. As she grapples with not only grief but also her gender fluidity, Clare wonders where she’ll belong if she sheds her carefully constructed image and embraces her true self.Will first crushes, new family dynamics, and questions of identity prove that Audrey and Clare have grown too different to understand each other-or that they\'ve needed each other all along?",37.91,0,0,0,1,0,1,0,1,0,0,1,0,0,0,"Yes"
"101",129,"https://app.thestorygraph.com/books/29ec4ced-0264-499b-a219-ed53bcebcd3a","Silver in the Bone","Alexandra Bracken","","9.78E+12","hardcover","read","5/10/2023","5/14/2023","2023/05/11-2023/05/14",1,"adventurous, emotional, mysterious, sad","medium","A mix","It's complicated","Yes","No","Yes",4,"","",NA,NA,"Yes","From the #1 New York Times bestselling author of Lore comes a stunning new Arthurian fantasy—the tale of a teenage girl who seeks her destiny in the cursed ruins of Avalon, driven by love, revenge, and pure adrenaline!Born without a trace of magic, Tamsin Lark is no match for the sorceresses and Hollowers who populate the magical underground of Boston. But when the only parent she’s ever known disappears without so much as a goodbye, she has no choice but to join in their cutthroat pursuit of enchanted relics to keep herself—and her brother, Cabell—alive.Ten years later, rumors are swirling that her guardian found a powerful ring from Arthurian legend just before he vanished. A run-in with her rival Emrys ignites Tamsin’s hope that the ring could free Cabell from a curse that threatens both of them. But they aren’t the only ones who covet the ring.As word spreads, greedy Hollowers start circling, and many would kill to have it for themselves. While Emrys is the last person Tamsin would choose to partner with, she needs all the help she can get to edge out her competitors in the race for the ring. Together, they dive headfirst into a vipers’ nest of dark magic, exposing a deadly secret with the power to awaken ghosts of the past and shatter her last hope of saving her brother. . . .&nbsp;",50.03,1,0,0,1,0,0,0,0,0,1,0,0,1,0,"Yes"
"188",237,"https://app.thestorygraph.com/books/6a660ecf-8e12-4073-beaa-25acbf928d5d","The Lost Apothecary","Sarah Penner","","9.78E+12","hardcover","read","2/20/2023","2/23/2023","2023/02/19-2023/02/23",1,"challenging, emotional, mysterious","medium","A mix","Yes","Yes","No","Yes",3.75,"","",NA,NA,"Yes","A forgotten history. A secret network of women. A legacy of poison and revenge. Welcome to The Lost Apothecary...Hidden in the depths of eighteenth-century London, a secret apothecary shop caters to an unusual kind of clientele. Women across the city whisper of a mysterious figure named Nella who sells well-disguised poisons to use against the oppressive men in their lives. But the apothecary\'s fate is jeopardized when her newest patron, a precocious twelve-year-old, makes a fatal mistake, sparking a string of consequences that echo through the centuries.Meanwhile in present-day London, aspiring historian Caroline Parcewell spends her tenth wedding anniversary alone, running from her own demons. When she stumbles upon a clue to the unsolved apothecary murders that haunted London two hundred years ago, her life collides with the apothecary\'s in a stunning twist of fate--and not everyone will survive.&nbsp;With crackling suspense, unforgettable characters and searing insight, The Lost Apothecary is a subversive and intoxicating debut novel of secrets, vengeance and the remarkable ways women can save each other despite the barrier of time.",46.4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,"Yes"
